Player,Tm,G,GS,WS,WS%,salary,WS%,expected_salary,salary_diff
Paul Millsap,ATL,81,81,10.1,$19000000.0,0.20199999999999993,$14418381.45
Al Horford,ATL,82,82,9.4,$12000000.0,0.18799999999999994,$13419087.69
Jeff Teague,ATL,79,78,5.9,$8000000.0,0.11799999999999998,$8422618.87
Thabo Sefolosha,ATL,75,11,4.5,$4000000.0,0.08999999999999997,$6424031.34
Kent Bazemore,ATL,75,68,4.1,$2000000.0,0.08199999999999998,$5853006.33
Kyle Korver,ATL,80,80,4.1,$5746479.0,0.08199999999999998,$5853006.33
Mike Scott,ATL,75,0,3.2,$3333333.0,0.06399999999999999,$4568200.06
Dennis Schroder,ATL,80,6,2.2,$1763400.0,0.04399999999999999,$3140637.54
Tim Hardaway,ATL,1,1.9,$1304520.0,0.037999999999999985,$2712368.79
Tiago Splitter,ATL,2,1.7,$8500000.0,0.03399999999999999,$2426856.28
Mike Muscala,ATL,60,0,1.6,$947276.0,0.031999999999999994,$2284100.03
Kris Humphries,ATL,0,0.9,$388025.0,0.017999999999999995,$1284806.27
Lamar Patterson,ATL,0,0.2,$525093.0,0.003999999999999999,$285512.5
Walter Tavares,ATL,0,0.2,$1000000.0,0.003999999999999999,$285512.5
Kirk Hinrich,ATL,0,0.0,$2870000.0,0.0,$0.0
Isaiah Thomas,BOS,82,79,9.7,$6912869.0,0.19917864476386035,$14545906.28
Jae Crowder,BOS,73,73,7.3,$6000000.0,0.14989733059548255,$10946919.16
Amir Johnson,BOS,79,76,5.9,$12000000.0,0.12114989733059549,$8847510.01
Avery Bradley,BOS,76,72,4.8,$7730337.0,0.09856262833675564,$7197974.24
Jared Sullinger,BOS,81,73,4.8,$2269260.0,0.09856262833675564,$7197974.24
Kelly Olynyk,BOS,69,8,4.1,$2165160.0,0.0841889117043121,$6148269.67
Evan Turner,BOS,81,12,4.0,$3425510.0,0.08213552361396304,$5998311.87
Marcus Smart,BOS,61,10,2.9,$3431040.0,0.0595482546201232,$4348776.1
Jonas Jerebko,BOS,78,0,2.4,$5000000.0,0.04928131416837782,$3598987.12
Tyler Zeller,BOS,60,3,1.7,$2616975.0,0.03490759753593429,$2549282.54
David Lee,BOS,4,0.9,$15493680.0,0.018480492813141684,$1349620.17
R.J. Hunter,BOS,0,0.3,$1148640.0,0.006160164271047227,$449873.39
Jordan Mickey,BOS,0,0.1,$1200000.0,0.002053388090349076,$149957.8
James Young,BOS,0,0.1,$1749840.0,0.002053388090349076,$149957.8
Coty Clarke,BOS,0,0.0,$61776.0,0.0,$0.0
Terry Rozier,BOS,0,-0.3,$1824360.0,-0.006160164271047227,$-449873.39
Kemba Walker,CHO,81,81,9.9,$12000000.0,0.20711297071129708,$16034359.16
Marvin Williams,CHO,81,81,7.8,$7000000.0,0.16317991631799164,$12633131.46
Cody Zeller,CHO,73,60,6.3,$4204200.0,0.13179916317991633,$10203683.1
Nicolas Batum,CHO,70,70,5.0,$12235750.0,0.10460251046025106,$8098161.19
Jeremy Lin,CHO,78,13,3.5,$2100000.0,0.07322175732217574,$5668712.83
Frank Kaminsky,CHO,81,3,3.3,$2612500.0,0.06903765690376569,$5344786.39
Al Jefferson,CHO,18,2.8,$13833333.0,0.058577405857740586,$4534970.27
Jeremy Lamb,CHO,66,0,2.7,$3034356.0,0.05648535564853557,$4373007.04
Spencer Hawes,CHO,6,1.9,$5543725.0,0.0397489539748954,$3077301.25
Courtney Lee,CHO,28,1.6,$5675000.0,0.03347280334728034,$2591411.58
Troy Daniels,CHO,0,1.1,$947276.0,0.023012552301255235,$1781595.46
Tyler Hansbrough,CHO,0,1.0,$1185784.0,0.020920502092050212,$1619632.24
Michael Kidd-Gilchrist,CHO,7,0.6,$6331404.0,0.012552301255230125,$971779.34
Jorge Gutierrez,CHO,0,0.3,$190000.0,0.006276150627615063,$485889.67
Aaron Harrison,CHO,0,0.0,$525093.0,0.0,$0.0
Jimmy Butler,CHI,67,67,9.1,$15260000.0,0.24396782841823056,$20831412.11
Pau Gasol,CHI,72,72,7.1,$7448760.0,0.19034852546916892,$16253079.78
Taj Gibson,CHI,73,55,5.4,$8500000.0,0.1447721179624665,$12361497.3
Nikola Mirotic,CHI,66,38,3.9,$5543725.0,0.10455764075067024,$8927748.05
Doug McDermott,CHI,81,4,2.8,$2380440.0,0.07506702412868632,$6409665.27
E'Twaun Moore,CHI,59,22,1.8,$1015421.0,0.0482573726541555,$4120499.1
Bobby Portis,CHI,62,4,1.5,$1391160.0,0.04021447721179625,$3433749.25
Cristiano Felicio,CHI,4,1.2,$525090.0,0.032171581769437,$2746999.4
Joakim Noah,CHI,2,1.1,$13400000.0,0.02949061662198392,$2518082.78
Aaron Brooks,CHI,69,0,0.9,$2000000.0,0.02412868632707775,$2060249.55
Mike Dunleavy,CHI,30,0.9,$4500000.0,0.02412868632707775,$2060249.55
Justin Holiday,CHI,4,0.8,$947300.0,0.02144772117962467,$1831332.93
Derrick Rose,CHI,66,66,0.4,$20093063.0,0.010723860589812334,$915666.47
Tony Snell,CHI,64,33,0.4,$1535880.0,0.010723860589812334,$915666.47
Cameron Bairstow,CHI,2,0.0,$845059.0,0.0,$0.0
LeBron James,CLE,76,76,13.6,$22971000.0,0.23652173913043473,$25055133.83
Tristan Thompson,CLE,82,34,8.7,$14260870.0,0.1513043478260869,$16027916.49
