Rk,Player,From,To,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,WS,salary,WS%,expected_salary,salary_diff
1,Paul Millsap,,,ATL,NBA,81,81,2647,501,1066,427,834,74,232,309,408,198,534,732,265,147,139,191,237,1385,.470,.512,.319,.505,.757,.556,10.1,$19000000.0,0.20199999999999993,$14418381.45,$-4581618.55
2,Al Horford,,,ATL,NBA,82,82,2631,529,1048,441,792,88,256,103,129,148,448,596,263,68,121,107,163,1249,.505,.557,.344,.547,.798,.565,9.4,$12000000.0,0.18799999999999994,$13419087.69,$1419087.69
3,Jeff Teague,,,ATL,NBA,79,78,2255,434,988,324,713,110,275,261,312,33,181,214,470,97,24,218,167,1239,.439,.454,.400,.495,.837,.551,5.9,$8000000.0,0.11799999999999998,$8422618.87,$422618.87
4,Thabo Sefolosha,,,ATL,NBA,75,11,1758,188,372,146,248,42,124,62,99,52,282,334,107,85,37,68,109,480,.505,.589,.339,.562,.626,.578,4.5,$4000000.0,0.08999999999999997,$6424031.34,$2424031.34
5,Kent Bazemore,,,ATL,NBA,75,68,2083,320,725,211,420,109,305,123,151,28,351,379,171,98,38,138,176,872,.441,.502,.357,.517,.815,.551,4.1,$2000000.0,0.08199999999999998,$5853006.33,$3853006.33
6,Kyle Korver,,,ATL,NBA,80,80,2401,268,616,110,219,158,397,45,54,14,246,260,164,60,35,98,161,739,.435,.502,.398,.563,.833,.578,4.1,$5746479.0,0.08199999999999998,$5853006.33,$106527.33
7,Mike Scott,,,ATL,NBA,75,0,1146,176,376,114,218,62,158,50,63,53,153,206,78,25,17,42,102,464,.468,.523,.392,.551,.794,.575,3.2,$3333333.0,0.06399999999999999,$4568200.06,$1234867.06
8,Dennis Schroder,,,ATL,NBA,80,6,1621,329,781,252,542,77,239,144,182,25,179,204,349,70,9,183,138,879,.421,.465,.322,.471,.791,.510,2.2,$1763400.0,0.04399999999999999,$3140637.54,$1377237.54
9,Tim Hardaway,,,ATL,NBA,51,1,864,114,265,66,123,48,142,50,56,7,79,86,51,21,7,23,48,326,.430,.537,.338,.521,.893,.563,1.9,$1304520.0,0.037999999999999985,$2712368.79,$1407848.79
10,Tiago Splitter,,,ATL,NBA,36,2,579,81,155,81,153,0,2,39,48,45,75,120,30,20,12,24,71,201,.523,.529,.000,.523,.813,.571,1.7,$8500000.0,0.03399999999999999,$2426856.28,$-6073143.72
11,Mike Muscala,,,ATL,NBA,60,0,565,76,152,64,113,12,39,31,39,38,79,117,34,13,27,27,72,195,.500,.566,.308,.539,.795,.576,1.6,$947276.0,0.031999999999999994,$2284100.03,$1336824.03
12,Kris Humphries,,,ATL,NBA,21,0,295,47,101,39,70,8,31,32,45,20,51,71,13,10,7,14,44,134,.465,.557,.258,.505,.711,.555,0.9,$388025.0,0.017999999999999995,$1284806.27,$896781.27
14,Lamar Patterson,,,ATL,NBA,35,0,395,28,80,16,31,12,49,16,22,4,46,50,39,9,2,23,45,84,.350,.516,.245,.425,.727,.468,0.2,$525093.0,0.003999999999999999,$285512.5,$-239580.5
